Name/username             Host                                    Dyn Forcerport ACL Port     Status     
1211/1211                 172.16.1.160                             D                 5060     OK (6 ms)  
1212/1212                 172.16.1.97                              D                 5062     OK (24 ms) 
1213/1213                 172.16.1.86                              D                 5060     OK (7 ms)  
1214/1214                 172.16.11.32                             D                 5060     OK (8 ms)  
1215/1215                 172.16.1.67                              D                 5062     OK (22 ms) 
1216/1216                 172.16.1.36                              D                 5062     OK (70 ms) 
1217/1217                 172.16.1.56                              D                 5062     OK (54 ms) 
1218/1218                 172.16.1.161                             D                 5060     OK (7 ms)  
1219/1219                 172.16.1.5                               D                 5062     OK (80 ms) 
1220/1220                 172.16.1.85                              D                 5062     OK (72 ms) 
1221/1221                 172.16.1.162                             D                 5060     OK (7 ms)  
1222/1222                 172.16.1.48                              D                 5062     OK (74 ms) 
1223/1223                 172.16.1.163                             D                 5060     OK (6 ms)  
1224/1224                 172.16.1.164                             D                 5060     OK (7 ms)  
1225/1225                 172.16.1.165                             D                 5060     OK (7 ms)  
1226/1226                 172.16.2.28                              D                 5060     OK (10 ms) 
1227/1227                 172.16.1.166                             D                 5060     OK (9 ms)  
1228/1228                 172.16.1.167                             D                 5060     OK (6 ms)  
1229/1229                 172.16.1.87                              D                 5062     OK (81 ms) 
1230/1230                 172.16.5.10                              D                 5060     OK (10 ms) 
1233/1233                 172.16.12.17                             D                 5060     OK (9 ms)  
1235/1235                 172.16.9.13                              D                 5060     OK (9 ms)  
1240/1240                 172.16.1.132                             D                 5062     OK (66 ms) 
1301/1301                 172.16.11.40                             D                 5060     OK (8 ms)  
1302/1302                 172.16.1.41                              D                 5060     OK (6 ms)  
1303/1303                 172.16.1.6                               D                 5060     OK (7 ms)  
1304/1304                 172.16.1.66                              D                 5060     OK (7 ms)  
1305/1305                 172.16.1.10                              D                 5060     OK (7 ms)  
1306/1306                 172.16.1.40                              D                 5060     OK (7 ms)  
1307/1307                 172.16.11.15                             D                 5060     OK (8 ms)  
1308/1308                 172.16.1.14                              D                 5060     OK (6 ms)  
1309/1309                 172.16.1.92                              D                 5062     OK (21 ms) 
1310/1310                 172.16.1.90                              D                 5062     OK (17 ms) 
1311/1311                 172.16.11.49                             D                 5060     OK (8 ms)  
1312/1312                 172.16.1.95                              D                 5060     OK (7 ms)  
1313/1313                 172.16.11.12                             D                 5060     OK (8 ms)  
1314/1314                 172.16.1.64                              D                 5060     OK (7 ms)  
1315/1315                 172.16.11.33                             D                 5060     OK (9 ms)  
1316/1316                 172.16.1.81                              D                 5060     OK (6 ms)  
1317/1317                 172.16.5.11                              D                 5060     UNREACHABLE 
1319/1319                 172.16.5.12                              D                 5060     OK (10 ms) 
1320                      (Unspecified)                            D                 0        UNKNOWN    
1321/1321                 172.16.11.46                             D                 5060     OK (8 ms)  
1322/1322                 172.16.5.6                               D                 5060     OK (10 ms) 
1323/1323                 172.16.11.44                             D                 5060     OK (7 ms)  
1324/1324                 172.16.11.47                             D                 5060     OK (8 ms)  
1325/1325                 172.16.11.21                             D                 5060     OK (8 ms)  
1326/1326                 172.16.5.5                               D                 5060     OK (10 ms) 
1327                      (Unspecified)                            D                 0        UNKNOWN    
1328/1328                 172.16.5.9                               D                 5060     OK (10 ms) 
1329/1329                 172.16.11.45                             D                 5060     OK (8 ms)  
1330/1330                 172.16.1.62                              D                 5060     OK (6 ms)  
1331/1331                 172.16.5.7                               D                 5060     OK (10 ms) 
1333/1333                 172.16.2.14                              D                 5060     OK (10 ms) 
1336/1336                 172.16.1.9                               D                 5060     OK (7 ms)  
1339/1339                 172.16.1.157                             D                 5060     OK (7 ms)  
1340/1340                 172.16.1.35                              D                 5060     OK (7 ms)  
1341/1341                 172.16.5.14                              D                 5060     OK (9 ms)  
1342                      (Unspecified)                            D                 0        UNKNOWN    
1343/1343                 172.16.1.139                             D                 5060     OK (7 ms)  
1344/1344                 172.16.4.5                               D                 5060     OK (9 ms)  
1345/1345                 172.16.1.121                             D                 5060     OK (7 ms)  
1346/1346                 172.16.1.105                             D                 5060     OK (6 ms)  
1347/1347                 172.16.1.111                             D                 5060     OK (7 ms)  
1380/1380                 172.16.1.79                              D                 5060     OK (7 ms)  
1382/1382                 172.16.1.101                             D                 5060     OK (7 ms)  
1401/1401                 172.16.11.41                             D                 5060     OK (8 ms)  
1402/1402                 172.16.4.11                              D                 5060     OK (8 ms)  
1404/1404                 172.16.4.6                               D                 5060     OK (9 ms)  
1405/1405                 172.16.1.142                             D                 5060     OK (7 ms)  
1406/1406                 172.16.1.148                             D                 5060     OK (7 ms)  
1408/1408                 172.16.1.149                             D                 5060     OK (9 ms)  
1409/1409                 172.16.1.136                             D                 5060     OK (7 ms)  
1410/1410                 172.16.1.133                             D                 5060     OK (8 ms)  
1411/1411                 172.16.1.141                             D                 5060     OK (7 ms)  
1412                      (Unspecified)                            D                 0        UNKNOWN    
1413/1413                 172.16.1.154                             D                 5060     OK (7 ms)  
1414/1414                 172.16.4.25                              D                 5060     OK (9 ms)  
1415/1415                 172.16.4.16                              D                 5060     OK (9 ms)  
1416/1416                 172.16.4.20                              D                 5060     OK (9 ms)  
1417/1417                 172.16.4.19                              D                 5060     OK (9 ms)  
1418/1418                 172.16.4.18                              D                 5060     OK (9 ms)  
1419/1419                 172.16.4.15                              D                 5060     OK (9 ms)  
1420/1420                 172.16.4.22                              D                 5060     OK (9 ms)  
1421/1421                 172.16.4.17                              D                 5060     OK (9 ms)  
1422/1422                 172.16.4.26                              D                 5060     OK (10 ms) 
1423/1423                 172.16.1.137                             D                 5060     OK (7 ms)  
1425/1425                 172.16.1.153                             D                 5060     OK (6 ms)  
1427/1427                 172.16.1.156                             D                 5060     OK (7 ms)  
1428/1428                 172.16.4.23                              D                 5060     OK (9 ms)  
1429/1429                 172.16.4.13                              D                 5060     OK (10 ms) 
1431                      (Unspecified)                            D                 0        UNKNOWN    
1435/1435                 172.16.4.21                              D                 5060     OK (9 ms)  
1436/1436                 172.16.4.9                               D                 5060     OK (10 ms) 
1437/1437                 172.16.1.144                             D                 5060     OK (7 ms)  
1438/1438                 172.16.4.7                               D                 5060     OK (9 ms)  
1439/1439                 172.16.1.152                             D                 5060     OK (7 ms)  
1440/1440                 172.16.4.71                              D                 5060     OK (9 ms)  
1441                      (Unspecified)                            D                 0        UNKNOWN    
1442                      (Unspecified)                            D                 0        UNKNOWN    
1446                      (Unspecified)                            D                 0        UNKNOWN    
1447/1447                 172.16.4.8                               D                 5060     OK (9 ms)  
1449/1449                 172.16.1.135                             D                 5060     OK (8 ms)  
1450/1450                 172.16.1.140                             D                 5060     OK (7 ms)  
1451                      (Unspecified)                            D                 0        UNKNOWN    
1452/1452                 172.16.1.155                             D                 5060     OK (7 ms)  
1453/1453                 172.16.1.134                             D                 5060     OK (7 ms)  
1454/1454                 172.16.1.151                             D                 5060     OK (7 ms)  
1455/1455                 172.16.1.138                             D                 5060     OK (6 ms)  
1457/1457                 172.16.4.10                              D                 5060     OK (9 ms)  
1458/1458                 172.16.4.24                              D                 5060     OK (9 ms)  
1460/1460                 172.16.1.150                             D                 5060     OK (7 ms)  
1461/1461                 172.16.1.145                             D                 5060     OK (6 ms)  
1462/1462                 172.16.1.146                             D                 5060     OK (7 ms)  
1463/1463                 172.16.1.147                             D                 5060     OK (7 ms)  
1464                      (Unspecified)                            D                 0        UNKNOWN    
1470                      (Unspecified)                            D                 0        UNKNOWN    
1471/1471                 172.16.1.34                              D                 5060     OK (7 ms)  
1472                      (Unspecified)                            D                 0        UNKNOWN    
1473                      (Unspecified)                            D                 0        UNKNOWN    
1474                      (Unspecified)                            D                 0        UNKNOWN    
1476/1476                 172.16.1.143                             D                 5060     OK (7 ms)  
1501/1501                 172.16.12.5                              D                 5060     OK (12 ms) 
1502/1502                 172.16.12.21                             D                 5060     OK (9 ms)  
1506/1506                 172.16.12.14                             D                 5060     OK (9 ms)  
1507/1507                 172.16.12.20                             D                 5060     OK (9 ms)  
1510/1510                 172.16.12.19                             D                 5060     OK (10 ms) 
1511/1511                 172.16.1.61                              D                 5060     OK (7 ms)  
1512                      (Unspecified)                            D                 0        UNKNOWN    
1515/1515                 172.16.12.15                             D                 5060     OK (16 ms) 
1516/1516                 172.16.1.39                              D                 5060     OK (7 ms)  
1517/1517                 172.16.12.7                              D                 5060     OK (9 ms)  
1518/1518                 172.16.12.6                              D                 5060     OK (10 ms) 
1519/1519                 172.16.12.10                             D                 5060     OK (9 ms)  
1520/1520                 172.16.12.9                              D                 5060     OK (9 ms)  
1521/1521                 172.16.12.8                              D                 5060     OK (9 ms)  
1522/1522                 172.16.12.16                             D                 5060     OK (10 ms) 
1523/1523                 172.16.12.18                             D                 5060     OK (10 ms) 
1524/1524                 172.16.12.13                             D                 5060     OK (9 ms)  
1525/1525                 172.16.12.11                             D                 5060     OK (13 ms) 
1602/1602                 172.16.2.25                              D                 5060     OK (13 ms) 
1603/1603                 172.16.1.49                              D                 5060     OK (7 ms)  
1605/1605                 172.16.11.31                             D                 5060     OK (12 ms) 
1606/1606                 172.16.1.60                              D                 5060     OK (7 ms)  
1608/1608                 172.16.2.21                              D                 5060     OK (10 ms) 
1609/1609                 172.16.11.38                             D                 5060     OK (8 ms)  
1612/1612                 172.16.2.27                              D                 5060     OK (10 ms) 
1614/1614                 172.16.2.23                              D                 5060     OK (10 ms) 
1617                      (Unspecified)                            D                 0        UNKNOWN    
1618/1618                 172.16.1.53                              D                 5060     OK (7 ms)  
1619/1619                 172.16.2.7                               D                 5060     OK (10 ms) 
1620/1620                 172.16.1.99                              D                 5060     OK (7 ms)  
1623/1623                 172.16.2.22                              D                 5060     OK (10 ms) 
1624/1624                 172.16.2.26                              D                 5060     OK (10 ms) 
1625/1625                 172.16.1.46                              D                 5060     OK (7 ms)  
1627/1627                 172.16.1.50                              D                 5060     OK (11 ms) 
1628/1628                 172.16.1.45                              D                 5060     OK (7 ms)  
1630/1630                 172.16.1.16                              D                 5060     OK (7 ms)  
1631/1631                 172.16.1.29                              D                 5060     OK (7 ms)  
1632/1632                 172.16.1.47                              D                 5060     OK (7 ms)  
1633/1633                 172.16.1.63                              D                 5060     OK (7 ms)  
1634/1634                 172.16.1.43                              D                 5060     OK (6 ms)  
1635/1635                 172.16.11.39                             D                 5060     OK (16 ms) 
1636/1636                 172.16.2.6                               D                 5060     OK (10 ms) 
1637/1637                 172.16.2.19                              D                 5060     OK (10 ms) 
1801/1801                 172.16.2.20                              D                 5060     OK (11 ms) 
1802/1802                 172.16.1.51                              D                 5060     OK (8 ms)  
1803/1803                 172.16.1.44                              D                 5060     OK (7 ms)  
